
#
# Start of IEEE IAB registry data
#
40D8550D7	Avant Technologies
482952	Sagemcom Broadband SAS
B05DD4	ARRIS Group, Inc.
F021E0	eero inc.
606C63	Hitron Technologies. Inc
00F361	Amazon Technologies Inc.
0040DD	HONG TECHNOLOGIES
408C1F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
04F03E	Huawei Device Co., Ltd.
E8D765	HUAWEI TECHNOLOGIES CO.,LTD
502DFB	IGShare Co., Ltd.
40EE15	Zioncom Electronics (Shenzhen) Ltd.
6C0DE1	Dongguan Cannice Precision Manufacturing Co., Ltd.
6C0309	Cisco Systems, Inc
BCD295	Cisco Systems, Inc
80C501	OctoGate IT Security Systems GmbH
14D19E	Apple, Inc.
40C711	Apple, Inc.
5C7017	Apple, Inc.
8CEC7B	Apple, Inc.
C430CA	SD Biosensor
28052E	Dematic Corp
E45E1B	Google, Inc.
78E22C	Huawei Device Co., Ltd.
C0D026	Huawei Device Co., Ltd.
A4423B	Intel Corporate
ECBE5F	Vestel Elektronik San ve Tic. A.S.
70CF49	Intel Corporate
4851C5	Intel Corporate
20EFBD	Roku, Inc
F42A7D	TP-LINK TECHNOLOGIES CO.,LTD.
04F993	Infinix mobility limited
BCBD9E	ITEL MOBILE LIMITED
BC6D05	Dusun Electron Co.,Ltd.
C0E018	HUAWEI TECHNOLOGIES CO.,LTD
5CE747	HUAWEI TECHNOLOGIES CO.,LTD
A8FFBA	HUAWEI TECHNOLOGIES CO.,LTD
F03965	Samsung Electronics Co.,Ltd
EC7CB6	Samsung Electronics Co.,Ltd
58A639	Samsung Electronics Co.,Ltd
A4E57C	Espressif Inc.
8C0FC9	Huawei Device Co., Ltd.
304E1B	Huawei Device Co., Ltd.
74504E	New H3C Technologies Co., Ltd
7CC2C6	TP-Link Corporation Limited
089AC7	zte corporation
744CA1	Liteon Technology Corporation
B4B291	LG Electronics
D80093	Aurender Inc.
389052	HUAWEI TECHNOLOGIES CO.,LTD
C0F6EC	HUAWEI TECHNOLOGIES CO.,LTD
CC208C	HUAWEI TECHNOLOGIES CO.,LTD
885A85	Wistron Neweb Corporation
948ED3	Arista Networks
24E4C8	Fiberhome Telecommunication Technologies Co.,LTD
687627	Zhuhai Dingzhi Electronic Technology Co., Ltd
C86C3D	Amazon Technologies Inc.
70617B	Cisco Systems, Inc
A0024A	IEEE Registration Authority
04E77E	We Corporation Inc.
74ECB2	Amazon Technologies Inc.
4C52EC	SOLARWATT GmbH
E01FED	Nokia Shanghai Bell Co., Ltd.
30D941	Raydium Semiconductor Corp.
146B9A	zte corporation
9C28B3	Apple, Inc.
A07817	Apple, Inc.
5C8730	Apple, Inc.
A4AAFE	Huawei Device Co., Ltd.
F83B7E	Huawei Device Co., Ltd.
8815C5	Huawei Device Co., Ltd.
B41BB0	Apple, Inc.
58D349	Apple, Inc.
F434F0	Apple, Inc.
B08C75	Apple, Inc.
7040FF	Huawei Device Co., Ltd.
34D693	Huawei Device Co., Ltd.
9C9AC0	LEGO System A/S
A09F10	SHENZHEN BILIAN ELECTRONIC CO.，LTD
201B88	Dongguan Liesheng Electronic Co., Ltd.
E8EB34	Cisco Systems, Inc
3CBDC5	Arcadyan Corporation
A8DA0C	SERVERCOM (INDIA) PRIVATE LIMITED
5860D8	ARRIS Group, Inc.
50A5DC	ARRIS Group, Inc.
249493	FibRSol Global Network Limited
28D044	Shenzhen Xinyin technology company
5C10C5	Samsung Electronics Co.,Ltd
A8407D	GD Midea Air-Conditioning Equipment Co.,Ltd.
FC4B57	Peerless Instrument Division of Curtiss-Wright
74B7B3	Shenzhen YOUHUA Technology Co., Ltd
DC9BD6	TCT mobile ltd
DC8C1B	vivo Mobile Communication Co., Ltd.
F85329	HUAWEI TECHNOLOGIES CO.,LTD
E80AEC	Jiangsu Hengtong Optic-Electric Co., LTD
C4DE7B	Huawei Device Co., Ltd.
6C1A75	Huawei Device Co., Ltd.
40D4BD	SK Networks Service CO., LTD.
841B77	Intel Corporate
7CC294	Beijing Xiaomi Mobile Software Co., Ltd
E0E2E6	Espressif Inc.
6C7637	Huawei Device Co., Ltd.
68D48B	Hailo Technologies Ltd.
C43772	Virtuozzo International GmbH
CC3B27	TECNO MOBILE LIMITED
3CD2E5	New H3C Technologies Co., Ltd
9C7370	HUAWEI TECHNOLOGIES CO.,LTD
983F60	HUAWEI TECHNOLOGIES CO.,LTD
C03FDD	HUAWEI TECHNOLOGIES CO.,LTD
303235	Qingdao Intelligent&Precise Electronics Co.,Ltd.
00301F	OPTICAL NETWORKS, INC.
0858A5	Beijing Vrv Software Corpoaration Limited.
18EE86	Novatel Wireless Solutions, Inc.
001391	OUEN CO.,LTD.
582429	Google, Inc.
7C73EB	Huawei Device Co., Ltd.
E48F1D	Huawei Device Co., Ltd.
CCF55F	E FOCUS INSTRUMENTS INDIA PRIVATE LIMITED
087C39	Amazon Technologies Inc.
141333	AzureWave Technology Inc.
A4178B	HUAWEI TECHNOLOGIES CO.,LTD
94B271	HUAWEI TECHNOLOGIES CO.,LTD
808FE8	Intelbras
18CC18	Intel Corporate
C0C9E3	TP-LINK TECHNOLOGIES CO.,LTD.
F88C21	TP-LINK TECHNOLOGIES CO.,LTD.
C4278C	Huawei Device Co., Ltd.
78058C	mMax Communications, Inc.
C4A72B	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
D0C31E	JUNGJIN Electronics Co.,Ltd
5C3400	Hisense Electric Co.,Ltd
D810CB	Andrea Informatique
FC1928	Actions Microelectronics Co., Ltd
E0913C	Kyeungin CNS Co., Ltd.
D05919	zte corporation
00B881	New platforms LLC
B098BC	Huawei Device Co., Ltd.
24016F	Huawei Device Co., Ltd.
84E342	Tuya Smart Inc.
FCCD2F	IEEE Registration Authority
C03C59	Intel Corporate
4C3BDF	Microsoft Corporation
B43161	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
B4FBE3	AltoBeam (China) Inc.
188740	Xiaomi Communications Co Ltd
341CF0	Xiaomi Communications Co Ltd
5CED8C	Hewlett Packard Enterprise
30AFCE	vivo Mobile Communication Co., Ltd.
64F947	Senscomm Semiconductor Co., Ltd.
DC00B0	FREEBOX SAS
707414	Murata Manufacturing Co., Ltd.
A0764E	Espressif Inc.
CC4F5C	IEEE Registration Authority
FC6DD1	APRESIA Systems, Ltd.
6C09BF	Fiberhome Telecommunication Technologies Co.,LTD
10D7B0	Sagemcom Broadband SAS
445943	zte corporation
343654	zte corporation
C8E600	HUAWEI TECHNOLOGIES CO.,LTD
D4D51B	HUAWEI TECHNOLOGIES CO.,LTD
2491BB	HUAWEI TECHNOLOGIES CO.,LTD
645E10	HUAWEI TECHNOLOGIES CO.,LTD
ECF22B	TECNO MOBILE LIMITED
309610	Huawei Device Co., Ltd.
30578E	eero inc.
FCB3BC	Intel Corporate
C816DA	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
B04414	New H3C Technologies Co., Ltd
E45F01	Raspberry Pi Trading Ltd
748F3C	Apple, Inc.
40F946	Apple, Inc.
1CFE2B	Amazon Technologies Inc.
A4AE12	Hon Hai Precision Industry Co., Ltd.
9C9D7E	Beijing Xiaomi Mobile Software Co., Ltd
DCA3A2	Feng mi(Beijing)technology co., LTD
EC570D	AFE Inc.
7C25DA	FN-LINK TECHNOLOGY LIMITED
3059B7	Microsoft
7412B3	CHONGQING FUGUI ELECTRONICS CO.,LTD.
9447B0	BEIJING ESWIN COMPUTING TECHNOLOGY CO., LTD
E45AD4	Eltex Enterprise Ltd.
44A54E	Qorvo International Pte. Ltd.
A8698C	Oracle Corporation
A4AC0F	Huawei Device Co., Ltd.
CCFF90	Huawei Device Co., Ltd.
5405DB	LCFC(HeFei) Electronics Technology co., ltd
003054	Castlenet Technology Inc.
001368	Saab Danmark A/S
B030C8	Teal Drones, Inc.
D4F337	Xunison Ltd.
48A2B8	Chengdu Vision-Zenith Tech.Co,.Ltd
58E873	HANGZHOU DANGBEI NETWORK TECH.Co.,Ltd
A0681C	GD Midea Air-Conditioning Equipment Co.,Ltd.
6C442A	HUAWEI TECHNOLOGIES CO.,LTD
A47CC9	HUAWEI TECHNOLOGIES CO.,LTD
C40D96	HUAWEI TECHNOLOGIES CO.,LTD
44AF28	Intel Corporate
D4A651	Tuya Smart Inc.
84225E	SHENZHEN TECHNEWCHIP TECHNOLOGY CO.,LTD.
F85C7D	Shenzhen Honesty Electronics Co.,Ltd.
842AFD	HP Inc.
C0B8E6	Ruijie Networks Co.,LTD
90F644	Huawei Device Co., Ltd.
A83512	Huawei Device Co., Ltd.
DC41A9	Intel Corporate
8C941F	Cisco Systems, Inc
687DB4	Cisco Systems, Inc
846B48	ShenZhen EepuLink Co., Ltd.
B460ED	Beijing Xiaomi Mobile Software Co., Ltd
30CC21	zte corporation
646C80	CHONGQING FUGUI ELECTRONICS CO.,LTD.
00300B	mPHASE Technologies, Inc.
C01850	Quanta Computer Inc.
4427F3	70mai Co.,Ltd.
000896	Printronix, Inc.
0025DC	Sumitomo Electric Industries, Ltd
047D7B	Quanta Computer Inc.
089E01	Quanta Computer Inc.
A81E84	Quanta Computer Inc.
B46F2D	Wahoo Fitness
BC7F7B	Huawei Device Co., Ltd.
F0FAC7	Huawei Device Co., Ltd.
0026C0	EnergyHub
80EACA	Dialog Semiconductor Hellas SA
5C857E	IEEE Registration Authority
8803E9	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
0CDC7E	Espressif Inc.
2098D8	Shenzhen Yingdakang Technology CO., LTD
182649	Intel Corporate
A0CFF5	zte corporation
98B3EF	Huawei Device Co., Ltd.
50F958	Huawei Device Co., Ltd.
C0A36E	SKY UK LIMITED
34C93D	Intel Corporate
1C012D	Ficer Technology
3CA62F	AVM Audiovisuelles Marketing und Computersysteme GmbH
0005C9	LG Innotek
ACF108	LG Innotek
E41F7B	Cisco Systems, Inc
6032B1	TP-LINK TECHNOLOGIES CO.,LTD.
7CFD6B	Xiaomi Communications Co Ltd
7CC77E	Fiberhome Telecommunication Technologies Co.,LTD
345840	HUAWEI TECHNOLOGIES CO.,LTD
5C647A	HUAWEI TECHNOLOGIES CO.,LTD
DCEF80	HUAWEI TECHNOLOGIES CO.,LTD
304950	IEEE Registration Authority
209E79	Universal Electronics, Inc.
08ED9D	TECNO MOBILE LIMITED
FC1499	Aimore Acoustics Incorporation
88948F	Xi'an Zhisensor Technologies Co.,Ltd
5CD5B5	Shenzhen WiSiYiLink Technology Co.,Ltd
AC5FEA	OnePlus Technology (Shenzhen) Co., Ltd
00BED5	New H3C Technologies Co., Ltd
E86DCB	Samsung Electronics Co.,Ltd
189552	1MORE
98C7A4	Shenzhen HS Fiber Communication Equipment CO., LTD
044AC6	Aipon Electronics Co., Ltd
C0FFA8	HUAWEI TECHNOLOGIES CO.,LTD
C87EA1	TCL MOKA International Limited
642C0F	vivo Mobile Communication Co., Ltd.
3066D0	Huawei Device Co., Ltd.
3CB233	Huawei Device Co., Ltd.
CCC261	IEEE Registration Authority
5CFE9E	Wiwynn Corporation Tainan Branch
881C95	ITEL MOBILE LIMITED
002003	PIXEL POWER LTD.
F02E51	Casa Systems
F46942	ASKEY COMPUTER CORP
08E9F6	AMPAK Technology,Inc.
C8E42F	Technical Research Design and Development
680AE2	Silicon Laboratories
241407	Xiamen Sigmastar Technology Ltd.
B47947	Nutanix
04F8F8	Edgecore Networks Corporation
640BD7	Apple, Inc.
A8913D	Apple, Inc.
0C3B50	Apple, Inc.
4CC95E	Samsung Electronics Co.,Ltd
5C9157	HUAWEI TECHNOLOGIES CO.,LTD
04CB88	Shenzhen Jingxun Software Telecommunication Technology Co.,Ltd
FCA5D0	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
347DF6	Intel Corporate
C85BA0	Shenzhen Qihu Intelligent Technology Company Limited
E0BE03	Lite-On Network Communication (Dongguan) Limited
A48873	Cisco Systems, Inc
98CBA4	Benchmark Electronics
B46293	Samsung Electronics Co.,Ltd
000DA1	MIRAE ITS Co.,LTD.
CCD9AC	Intel Corporate
B8804F	Texas Instruments
000F2D	CHUNG-HSIN ELECTRIC & MACHINERY MFG.CORP.
183CB7	Huawei Device Co., Ltd.
5C9012	Owl Cyber Defense Solutions, LLC
481693	Lear Corporation GmbH
A4BDC4	HUAWEI TECHNOLOGIES CO.,LTD
38F7CD	IEEE Registration Authority
9C2976	Intel Corporate
18F697	Axiom Memory Solutions, Inc.
5C6BD7	Foshan VIOMI Electric Appliance Technology Co. Ltd.
1848CA	Murata Manufacturing Co., Ltd.
CC0DF2	Motorola Mobility LLC, a Lenovo Company
94434D	Ciena Corporation
0001CD	ARtem
58A87B	Fitbit, Inc.
C489ED	Solid Optics EU N.V.
488F5A	Routerboard.com
100645	Sagemcom Broadband SAS
A027B6	Samsung Electronics Co.,Ltd
103917	Samsung Electronics Co.,Ltd
9880EE	Samsung Electronics Co.,Ltd
90EEC7	Samsung Electronics Co.,Ltd
1029AB	Samsung Electronics Co.,Ltd
184ECB	Samsung Electronics Co.,Ltd
8022A7	NEC Platforms, Ltd.
5C2316	Squirrels Research Labs LLC
AC67B2	Espressif Inc.
985949	LUXOTTICA GROUP S.P.A.
64E172	Shenzhen Qihoo Intelligent Technology Co.,Ltd
C4D8F3	iZotope
A84025	Oxide Computer Company
64E881	Aruba, a Hewlett Packard Enterprise Company
60F43A	Edifier International
FCB698	Cambridge Industries(Group) Co.,Ltd.
042144	Sunitec Enterprise Co.,Ltd
4C3329	Sweroam
782B46	Intel Corporate
785773	HUAWEI TECHNOLOGIES CO.,LTD
AC6089	HUAWEI TECHNOLOGIES CO.,LTD
843E92	HUAWEI TECHNOLOGIES CO.,LTD
708CB6	HUAWEI TECHNOLOGIES CO.,LTD
50464A	HUAWEI TECHNOLOGIES CO.,LTD
C4A402	HUAWEI TECHNOLOGIES CO.,LTD
68332C	KENSTEL NETWORKS LIMITED
9CBD6E	DERA Co., Ltd
9C28BF	Continental Automotive Czech Republic s.r.o.
0006B3	Diagraph Corporation
D8787F	Ubee Interactive Co., Limited
DC333D	Huawei Device Co., Ltd.
285471	Huawei Device Co., Ltd.
B88E82	Huawei Device Co., Ltd.
34E5EC	Palo Alto Networks
0887C6	INGRAM MICRO SERVICES
D4D2D6	FN-LINK TECHNOLOGY LIMITED
105072	Sercomm Corporation.
98FAA7	INNONET
086BD1	Shenzhen SuperElectron Technology Co.,Ltd.
905D7C	New H3C Technologies Co., Ltd
3CB53D	HUNAN GOKE MICROELECTRONICS CO.,LTD
AC3A67	Cisco Systems, Inc
00B7A8	Heinzinger electronic GmbH
34CFF6	Intel Corporate
B8E3B1	HUAWEI TECHNOLOGIES CO.,LTD
980D51	Huawei Device Co., Ltd.
00ADD5	Huawei Device Co., Ltd.
EC7949	FUJITSU LIMITED
AC4A67	Cisco Systems, Inc
900A84	Mellanox Technologies, Inc.
70CA97	Ruckus Wireless
345180	TCL King Electrical Appliances (Huizhou) Co., Ltd
6CD94C	vivo Mobile Communication Co., Ltd.
AC1ED0	Temic Automotive Philippines Inc.
0088BA	NC&C
4CA64D	Cisco Systems, Inc
402B69	Kumho Electric Inc.
A40801	Amazon Technologies Inc.
A8A097	ScioTeq bvba
F47335	Logitech Far East
90ADFC	Telechips, Inc.
BC1695	zte corporation
A4CFD2	Ubee Interactive Co., Limited
E8E98E	SOLAR controls s.r.o.
64F6BB	Fibocom Wireless Inc.
5CA62D	Cisco Systems, Inc
EC97B2	SUMEC Machinery & Electric Co.,Ltd.
28FA7A	Zhejiang Tmall Technology Co., Ltd.
1005E1	Nokia
BC542F	Intel Corporate
842E14	Silicon Laboratories
0020E1	ALAMAR ELECTRONICS
08F458	Huawei Device Co., Ltd.
343794	Hamee Corp.
5CBA2C	Hewlett Packard Enterprise
D4DC09	Mist Systems, Inc.
4410FE	Huizhou Foryou General Electronics Co., Ltd.
EC316D	Hansgrohe
CC7F75	Cisco Systems, Inc
20E874	Apple, Inc.
D03FAA	Apple, Inc.
7CAB60	Apple, Inc.
44C65D	Apple, Inc.
40EC99	Intel Corporate
F4A4D6	HUAWEI TECHNOLOGIES CO.,LTD
187EB9	Apple, Inc.
1C97C5	Ynomia Pty Ltd
5CC1D7	Samsung Electronics Co.,Ltd
380146	SHENZHEN BILIAN ELECTRONIC CO.，LTD
2C5741	Cisco Systems, Inc
B0B353	IEEE Registration Authority
484EFC	ARRIS Group, Inc.
1C919D	Dongguan Liesheng Electronic Co., Ltd.
20114E	MeteRSit S.R.L.
FCF29F	China Mobile Iot Limited company
F81F32	Motorola Mobility LLC, a Lenovo Company
A87EEA	Intel Corporate
B00AD5	zte corporation
A84D4A	Audiowise Technology Inc.
74B6B6	eero inc.
7CDFA1	Espressif Inc.
98006A	zte corporation
7894E8	Radio Bridge
547FBC	iodyne
FCE14F	BRK Brands, Inc.
889655	Zitte corporation
18300C	Hisense Electric Co.,Ltd
44A56E	NETGEAR
5C27D4	Shenzhen Qihu Intelligent Technology Company Limited
74D83E	Intel Corporate
88B6EE	Dish Technologies Corp
3C28A6	Alcatel-Lucent Enterprise (China)
5050A4	Samsung Electronics Co.,Ltd
08F8BC	Apple, Inc.
90A25B	Apple, Inc.
88A479	Apple, Inc.
047295	Apple, Inc.
D446E1	Apple, Inc.
141459	Vodafone Italia S.p.A.
5043B9	OktoInform RUS
88541F	Google, Inc.
900CC8	Google, Inc.
00104F	Oracle Corporation
08D23E	Intel Corporate
487B5E	SMT TELECOMM HK
0025A9	Shanghai Embedway Information Technologies Co.,Ltd
68215F	Edgecore Networks Corporation
3CBF60	Apple, Inc.
AC15F4	Apple, Inc.
78D162	Apple, Inc.
44C7FC	Huawei Device Co., Ltd.
7885F4	Huawei Device Co., Ltd.
8086D9	Samsung Electronics Co.,Ltd
386A77	Samsung Electronics Co.,Ltd
00B810	Yichip Microelectronics (Hangzhou) Co.,Ltd
A4B239	Cisco Systems, Inc
548D5A	Intel Corporate
F44955	MIMO TECH Co., Ltd.
0809C7	Zhuhai Unitech Power Technology Co., Ltd.
58961D	Intel Corporate
68AFFF	Shanghai Cambricon Information Technology Co., Ltd.
D01C3C	TECNO MOBILE LIMITED
041DC7	zte corporation
001A4D	GIGA-BYTE TECHNOLOGY CO.,LTD.
001FD0	GIGA-BYTE TECHNOLOGY CO.,LTD.
B89A2A	Intel Corporate
DC21E2	HUAWEI TECHNOLOGIES CO.,LTD
FC1BD1	HUAWEI TECHNOLOGIES CO.,LTD
582575	HUAWEI TECHNOLOGIES CO.,LTD
28DEE5	HUAWEI TECHNOLOGIES CO.,LTD
18C04D	GIGA-BYTE TECHNOLOGY CO.,LTD.
402C76	IEEE Registration Authority
80C955	Redpine Signals, Inc.
5C68D0	Aurora Innovation Inc.
10364A	Boston Dynamics
8CAAB5	Espressif Inc.
000BCC	JUSAN, S.A.
00E059	CONTROLLED ENVIRONMENTS, LTD.
0C8E29	Arcadyan Corporation
A0224E	IEEE Registration Authority
C49878	SHANGHAI MOAAN INTELLIGENT TECHNOLOGY CO.,LTD
000A23	Parama Networks Inc
3843E5	Grotech Inc
6C639C	ARRIS Group, Inc.
6C06D6	Huawei Device Co., Ltd.
18E777	vivo Mobile Communication Co., Ltd.
0C7A15	Intel Corporate
94D6DB	NexFi
78B46A	HUAWEI TECHNOLOGIES CO.,LTD
6CEBB6	HUAWEI TECHNOLOGIES CO.,LTD
4CF55B	HUAWEI TECHNOLOGIES CO.,LTD
643139	IEEE Registration Authority
A44BD5	Xiaomi Communications Co Ltd
14876A	Apple, Inc.
E0B55F	Apple, Inc.
F8FFC2	Apple, Inc.
E0EB40	Apple, Inc.
4077A9	New H3C Technologies Co., Ltd
64694E	Texas Instruments
F83331	Texas Instruments
40A6B7	Intel Corporate
B4ECF2	Shanghai Listent Medical Tech Co., Ltd.
C4954D	IEEE Registration Authority
64956C	LG Electronics
E83F67	Huawei Device Co., Ltd.
3446EC	Huawei Device Co., Ltd.
1CBFC0	CHONGQING FUGUI ELECTRONICS CO.,LTD.
34495B	Sagemcom Broadband SAS
801609	Sleep Number
AC8B9C	Primera Technology, Inc.
1CC1BC	Yichip Microelectronics (Hangzhou) Co.,Ltd
2C3AFD	AVM Audiovisuelles Marketing und Computersysteme GmbH
AC61B9	WAMA Technology Limited
F855CD	Visteon Corporation
441847	HUNAN SCROWN ELECTRONIC INFORMATION TECH.CO.,LTD
0030B7	Teletrol Systems, Inc.
C8F319	LG Electronics (Mobile Communications)
009096	ASKEY COMPUTER CORP
2474F7	GoPro
7CD566	Amazon Technologies Inc.
686350	Hella India Automotive Pvt Ltd
18703B	Huawei Device Co., Ltd.
442295	China Mobile Iot Limited company
E85A8B	Xiaomi Communications Co Ltd
80751F	SKY UK LIMITED
D89E61	Huawei Device Co., Ltd.
347E00	Huawei Device Co., Ltd.
5CE50C	Beijing Xiaomi Mobile Software Co., Ltd
5C710D	Cisco Systems, Inc
98AF65	Intel Corporate
F8893C	Inventec Appliances Corp.
749EF5	Samsung Electronics Co.,Ltd
68BFC4	Samsung Electronics Co.,Ltd
B82ADC	EFR Europäische Funk-Rundsteuerung GmbH
00AB48	eero inc.
A0DF15	HUAWEI TECHNOLOGIES CO.,LTD
C4AD34	Routerboard.com
000733	DANCONTROL Engineering
A85E45	ASUSTek COMPUTER INC.
64C901	INVENTEC Corporation
B43939	Shenzhen TINNO Mobile Technology Corp.
5CCD5B	Intel Corporate
84C807	ADVA Optical Networking Ltd.
10B3C6	Cisco Systems, Inc
10B3D6	Cisco Systems, Inc
A0AB51	WEIFANG GOERTEK ELECTRONICS CO.,LTD
04B1A1	Samsung Electronics Co.,Ltd
CC464E	Samsung Electronics Co.,Ltd
306F07	Nations Technologies Inc.
3C894D	Dr. Ing. h.c. F. Porsche AG
F854B8	Amazon Technologies Inc.
781735	Nokia Shanghai Bell Co., Ltd.
9CFFC2	AVI Systems GmbH
44D878	Hui Zhou Gaoshengda Technology Co.,LTD
7897C3	DINGXIN INFORMATION TECHNOLOGY CO.,LTD
F4D620	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
949034	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
3C8F06	Shenzhen Libtor Technology Co.,Ltd
987A10	Ericsson AB
202681	TECNO MOBILE LIMITED
A0D807	Huawei Device Co., Ltd.
2C780E	Huawei Device Co., Ltd.
34B20A	Huawei Device Co., Ltd.
98F4AB	Espressif Inc.
D8BFC0	Espressif Inc.
B00875	HUAWEI TECHNOLOGIES CO.,LTD
64FB92	PPC Broadband Inc.
141346	Skyworth Digital Technology(Shenzhen) Co.,Ltd
542BDE	New H3C Technologies Co., Ltd
98F781	ARRIS Group, Inc.
4C90DB	JL Audio
8CF112	Motorola Mobility LLC, a Lenovo Company
B899AE	Shenzhen MiaoMing  Intelligent Technology Co.,Ltd
E8D0B9	Taicang T&W Electronics
5885A2	Realme Chongqing MobileTelecommunications Corp Ltd
A8C0EA	Pepwave Limited
44AEAB	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
A4F05E	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
00071C	AT&T
847637	HUAWEI TECHNOLOGIES CO.,LTD
FC9435	HUAWEI TECHNOLOGIES CO.,LTD
E02481	HUAWEI TECHNOLOGIES CO.,LTD
2CF89B	Cisco Systems, Inc
80B07B	zte corporation
C85A9F	zte corporation
500291	Espressif Inc.
001DDF	Sunitec Enterprise Co.,Ltd
8C0FFA	Hutec co.,ltd
ACFE05	ITEL MOBILE LIMITED
BCC31B	Kygo Life A
64DF10	JingLue Semiconductor(SH) Ltd.
100177	HUAWEI TECHNOLOGIES CO.,LTD
44A191	HUAWEI TECHNOLOGIES CO.,LTD
24526A	Zhejiang Dahua Technology Co., Ltd.
20DFB9	Google, Inc.
5CCAD3	CHIPSEA TECHNOLOGIES (SHENZHEN) CORP.
782A79	Integrated Device Technology (Malaysia) Sdn. Bhd.
786559	Sagemcom Broadband SAS
50D2F5	Beijing Xiaomi Mobile Software Co., Ltd
1C687E	Shenzhen Qihu Intelligent Technology Company Limited
C03656	Fiberhome Telecommunication Technologies Co.,LTD
B03E51	SKY UK LIMITED
28167F	Xiaomi Communications Co Ltd
087190	Intel Corporate
5CE883	HUAWEI TECHNOLOGIES CO.,LTD
6023A4	Sichuan AI-Link Technology Co., Ltd.
A4530E	Cisco Systems, Inc
00403A	IMPACT TECHNOLOGIES
C8B1CD	Apple, Inc.
1460CB	Apple, Inc.
B8F12A	Apple, Inc.
F887F1	Apple, Inc.
60447A	Water-i.d. GmbH
807215	SKY UK LIMITED
74D637	Amazon Technologies Inc.
7484E1	Dongguan Haoyuan Electronics Co.,Ltd
4074E0	Intel Corporate
D05F64	IEEE Registration Authority
44FB5A	zte corporation
C463FB	Neatframe AS
305714	Apple, Inc.
04A222	Arcadyan Corporation
04AB6A	Chun-il Co.,Ltd.
0035FF	Texas Instruments
DC54D7	Amazon Technologies Inc.
28FE65	DongGuan Siyoto Electronics Co., Ltd
1806F5	RAD Data Communications, Ltd.
889FAA	Hella Gutmann Solutions GmbH
04C807	Xiaomi Communications Co Ltd
4459E3	HUAWEI TECHNOLOGIES CO.,LTD
683F1E	EFFECT Photonics B.V.
44D3CA	Cisco Systems, Inc
840B7C	Hitron Technologies. Inc
48A73C	Sichuan tianyi kanghe communications co., LTD
F8A763	Zhejiang Tmall Technology Co., Ltd.
A49813	ARRIS Group, Inc.
6C2990	WiZ Connected Lighting Company Limited
9835ED	HUAWEI TECHNOLOGIES CO.,LTD
807693	Newag SA
BC9740	IEEE Registration Authority
084F0A	HUAWEI TECHNOLOGIES CO.,LTD
A8494D	HUAWEI TECHNOLOGIES CO.,LTD
44004D	HUAWEI TECHNOLOGIES CO.,LTD
20968A	China Mobile (Hangzhou) Information Technology Co., Ltd.
8C1850	China Mobile (Hangzhou) Information Technology Co., Ltd.
D8D4E6	Hytec Inter Co., Ltd.
F8E7A0	vivo Mobile Communication Co., Ltd.
2CFFEE	vivo Mobile Communication Co., Ltd.
C85D38	HUMAX Co., Ltd.
18CF24	HUAWEI TECHNOLOGIES CO.,LTD
50F8A5	eWBM Co., Ltd.
D89B3B	HUAWEI TECHNOLOGIES CO.,LTD
88403B	HUAWEI TECHNOLOGIES CO.,LTD
FC8743	HUAWEI TECHNOLOGIES CO.,LTD
04885F	HUAWEI TECHNOLOGIES CO.,LTD
C850CE	HUAWEI TECHNOLOGIES CO.,LTD
000BE4	Hosiden Corporation
4413D0	zte corporation
2462AB	Espressif Inc.
1449BC	DrayTek Corp.
20F478	Xiaomi Communications Co Ltd
7438B7	CANON INC.
90735A	Motorola Mobility LLC, a Lenovo Company
0004DF	TERACOM TELEMATICA S.A
18B6F7	NEW POS TECHNOLOGY LIMITED
1C8259	IEEE Registration Authority
00FA21	Samsung Electronics Co.,Ltd
7C2302	Samsung Electronics Co.,Ltd
6CAB05	Cisco Systems, Inc
5CB15F	Oceanblue Cloud Technology Limited
485DEB	Just Add Power
501395	Sichuan AI-Link Technology Co., Ltd.
18D9EF	Shuttle Inc.
88DA33	Beijing Xiaoyuer Network Technology Co., Ltd
84C78F	APS Networks GmbH
C09FE1	zte corporation
18AACA	Sichuan tianyi kanghe communications co., LTD
60D248	ARRIS Group, Inc.
D49DC0	Samsung Electronics Co.,Ltd
D0196A	Ciena Corporation
84FDD1	Intel Corporate
B0700D	Nokia
002175	Pacific Satellite International Ltd.
346B5B	New H3C Technologies Co., Ltd
84E892	Actiontec Electronics, Inc
78E2BD	Vodafone Automotive S.p.A.
F848FD	China Mobile Group Device Co.,Ltd.
5041B9	I-O DATA DEVICE,INC.
80DABC	Megafone Limited
20DA22	HUAWEI TECHNOLOGIES CO.,LTD
184644	Home Control Singapore Pte Ltd
